,AgentName,steps,reward
0,DQN_SModel,47,123
1,DQN_SModel,66,104
2,DQN_SModel,54,116
3,DQN_SModel,69,101
4,DQN_SModel,58,112
5,DQN_SModel,46,124
6,DQN_SModel,69,101
7,DQN_SModel,57,113
8,DQN_SModel,82,88
9,DQN_SModel,41,129
10,DQN_SModel,46,124
11,DQN_SModel,56,114
12,DQN_SModel,47,123
13,DQN_SModel,56,114
14,DQN_SModel,50,120
15,DQN_SModel,64,106
16,DQN_SModel,48,122
17,DQN_SModel,39,131
18,DQN_SModel,76,94
19,DQN_SModel,60,110
20,DQN_SModel,67,103
21,DQN_SModel,59,111
22,DQN_SModel,53,117
23,DQN_SModel,50,120
24,DQN_SModel,47,123
25,DQN_SModel,44,126
26,DQN_SModel,49,121
27,DQN_SModel,59,111
28,DQN_SModel,50,120
29,DQN_SModel,53,117
30,DQN_SModel,65,105
31,DQN_SModel,64,106
32,DQN_SModel,47,123
33,DQN_SModel,46,124
34,DQN_SModel,60,110
35,DQN_SModel,43,127
36,DQN_SModel,61,109
37,DQN_SModel,60,110
38,DQN_SModel,53,117
39,DQN_SModel,46,124
40,DQN_SModel,69,101
41,DQN_SModel,42,128
42,DQN_SModel,47,123
43,DQN_SModel,66,104
44,DQN_SModel,60,110
45,DQN_SModel,54,116
46,DQN_SModel,63,107
47,DQN_SModel,53,117
48,DQN_SModel,41,129
49,DQN_SModel,37,133
50,DQN_SModel,37,133
51,DQN_SModel,49,121
52,DQN_SModel,37,133
53,DQN_SModel,77,93
54,DQN_SModel,68,102
55,DQN_SModel,60,110
56,DQN_SModel,50,120
57,DQN_SModel,63,107
58,DQN_SModel,49,121
59,DQN_SModel,64,106
60,DQN_SModel,38,132
61,DQN_SModel,47,123
62,DQN_SModel,48,122
63,DQN_SModel,37,133
64,DQN_SModel,69,101
65,DQN_SModel,40,130
66,DQN_SModel,44,126
67,DQN_SModel,51,119
68,DQN_SModel,47,123
69,DQN_SModel,55,115
70,DQN_SModel,58,112
71,DQN_SModel,43,127
72,DQN_SModel,47,123
73,DQN_SModel,60,110
74,DQN_SModel,50,120
75,DQN_SModel,57,113
76,DQN_SModel,57,113
77,DQN_SModel,59,111
78,DQN_SModel,68,102
79,DQN_SModel,64,106
80,DQN_SModel,67,103
81,DQN_SModel,42,128
82,DQN_SModel,49,121
83,DQN_SModel,36,134
84,DQN_SModel,43,127
85,DQN_SModel,65,105
86,DQN_SModel,66,104
87,DQN_SModel,54,116
88,DQN_SModel,53,117
89,DQN_SModel,57,113
90,DQN_SModel,75,95
91,DQN_SModel,35,135
92,DQN_SModel,61,109
93,DQN_SModel,67,103
94,DQN_SModel,58,112
95,DQN_SModel,38,132
96,DQN_SModel,70,100
97,DQN_SModel,45,125
98,DQN_SModel,53,117
99,DQN_SModel,47,123
100,DQN_SModel,63,107
101,DQN_SModel,44,126
102,DQN_SModel,55,115
103,DQN_SModel,43,127
104,DQN_SModel,39,131
105,DQN_SModel,58,112
106,DQN_SModel,65,105
107,DQN_SModel,61,109
108,DQN_SModel,64,106
109,DQN_SModel,55,115
110,DQN_SModel,85,85
111,DQN_SModel,73,97
112,DQN_SModel,60,110
113,DQN_SModel,57,113
114,DQN_SModel,48,122
115,DQN_SModel,58,112
116,DQN_SModel,57,113
117,DQN_SModel,46,124
118,DQN_SModel,50,120
119,DQN_SModel,63,107
120,DQN_SModel,56,114
121,DQN_SModel,68,102
122,DQN_SModel,49,121
123,DQN_SModel,39,131
124,DQN_SModel,38,132
125,DQN_SModel,40,130
126,DQN_SModel,47,123
127,DQN_SModel,44,126
128,DQN_SModel,61,109
129,DQN_SModel,79,91
130,DQN_SModel,71,99
131,DQN_SModel,49,121
132,DQN_SModel,60,110
133,DQN_SModel,63,107
134,DQN_SModel,70,100
135,DQN_SModel,61,109
136,DQN_SModel,51,119
137,DQN_SModel,39,131
138,DQN_SModel,50,120
139,DQN_SModel,84,86
140,DQN_SModel,51,119
141,DQN_SModel,52,118
142,DQN_SModel,67,103
143,DQN_SModel,73,97
144,DQN_SModel,31,139
145,DQN_SModel,56,114
146,DQN_SModel,50,120
147,DQN_SModel,68,102
148,DQN_SModel,57,113
149,DQN_SModel,58,112
150,DQN_SModel,50,120
151,DQN_SModel,71,99
152,DQN_SModel,52,118
153,DQN_SModel,53,117
154,DQN_SModel,45,125
155,DQN_SModel,35,135
156,DQN_SModel,61,109
157,DQN_SModel,69,101
158,DQN_SModel,46,124
159,DQN_SModel,58,112
160,DQN_SModel,45,125
161,DQN_SModel,68,102
162,DQN_SModel,63,107
163,DQN_SModel,61,109
164,DQN_SModel,61,109
165,DQN_SModel,53,117
166,DQN_SModel,47,123
167,DQN_SModel,47,123
168,DQN_SModel,52,118
169,DQN_SModel,46,124
170,DQN_SModel,42,128
171,DQN_SModel,62,108
172,DQN_SModel,58,112
173,DQN_SModel,43,127
174,DQN_SModel,76,94
175,DQN_SModel,54,116
176,DQN_SModel,75,95
177,DQN_SModel,45,125
178,DQN_SModel,46,124
179,DQN_SModel,90,80
180,DQN_SModel,42,128
181,DQN_SModel,46,124
182,DQN_SModel,59,111
183,DQN_SModel,58,112
184,DQN_SModel,76,94
185,DQN_SModel,61,109
186,DQN_SModel,53,117
187,DQN_SModel,64,106
188,DQN_SModel,70,100
189,DQN_SModel,62,108
190,DQN_SModel,54,116
191,DQN_SModel,51,119
192,DQN_SModel,51,119
193,DQN_SModel,69,101
194,DQN_SModel,49,121
195,DQN_SModel,50,120
196,DQN_SModel,61,109
197,DQN_SModel,50,120
198,DQN_SModel,58,112
199,DQN_SModel,56,114
200,DQN_SModel,46,124
201,DQN_SModel,62,108
202,DQN_SModel,52,118
203,DQN_SModel,50,120
204,DQN_SModel,62,108
205,DQN_SModel,54,116
206,DQN_SModel,53,117
207,DQN_SModel,61,109
208,DQN_SModel,37,133
209,DQN_SModel,59,111
210,DQN_SModel,46,124
211,DQN_SModel,47,123
212,DQN_SModel,46,124
213,DQN_SModel,55,115
214,DQN_SModel,48,122
215,DQN_SModel,57,113
216,DQN_SModel,27,143
217,DQN_SModel,80,90
218,DQN_SModel,53,117
219,DQN_SModel,40,130
220,DQN_SModel,58,112
221,DQN_SModel,66,104
222,DQN_SModel,69,101
223,DQN_SModel,57,113
224,DQN_SModel,57,113
225,DQN_SModel,42,128
226,DQN_SModel,42,128
227,DQN_SModel,64,106
228,DQN_SModel,49,121
229,DQN_SModel,50,120
230,DQN_SModel,61,109
231,DQN_SModel,48,122
232,DQN_SModel,58,112
233,DQN_SModel,62,108
234,DQN_SModel,44,126
235,DQN_SModel,50,120
236,DQN_SModel,55,115
237,DQN_SModel,54,116
238,DQN_SModel,47,123
239,DQN_SModel,44,126
240,DQN_SModel,44,126
241,DQN_SModel,37,133
242,DQN_SModel,61,109
243,DQN_SModel,63,107
244,DQN_SModel,52,118
245,DQN_SModel,44,126
246,DQN_SModel,44,126
247,DQN_SModel,57,113
248,DQN_SModel,53,117
249,DQN_SModel,49,121
250,DQN_SModel,62,108
251,DQN_SModel,50,120
252,DQN_SModel,56,114
253,DQN_SModel,67,103
254,DQN_SModel,31,139
255,DQN_SModel,64,106
256,DQN_SModel,50,120
257,DQN_SModel,41,129
258,DQN_SModel,77,93
259,DQN_SModel,67,103
260,DQN_SModel,54,116
261,DQN_SModel,45,125
262,DQN_SModel,62,108
263,DQN_SModel,52,118
264,DQN_SModel,50,120
265,DQN_SModel,48,122
266,DQN_SModel,54,116
267,DQN_SModel,64,106
268,DQN_SModel,65,105
269,DQN_SModel,50,120
270,DQN_SModel,59,111
271,DQN_SModel,35,135
272,DQN_SModel,42,128
273,DQN_SModel,46,124
274,DQN_SModel,44,126
275,DQN_SModel,63,107
276,DQN_SModel,41,129
277,DQN_SModel,58,112
278,DQN_SModel,46,124
279,DQN_SModel,51,119
280,DQN_SModel,72,98
281,DQN_SModel,43,127
282,DQN_SModel,66,104
283,DQN_SModel,60,110
284,DQN_SModel,51,119
285,DQN_SModel,44,126
286,DQN_SModel,51,119
287,DQN_SModel,49,121
288,DQN_SModel,58,112
289,DQN_SModel,52,118
290,DQN_SModel,74,96
291,DQN_SModel,71,99
292,DQN_SModel,41,129
293,DQN_SModel,55,115
294,DQN_SModel,51,119
295,DQN_SModel,75,95
296,DQN_SModel,61,109
297,DQN_SModel,38,132
298,DQN_SModel,66,104
299,DQN_SModel,66,104
300,DQN_SModel,69,101
301,DQN_SModel,63,107
302,DQN_SModel,42,128
303,DQN_SModel,49,121
304,DQN_SModel,53,117
305,DQN_SModel,66,104
306,DQN_SModel,81,89
307,DQN_SModel,76,94
308,DQN_SModel,51,119
309,DQN_SModel,66,104
310,DQN_SModel,54,116
311,DQN_SModel,67,103
312,DQN_SModel,63,107
313,DQN_SModel,56,114
314,DQN_SModel,61,109
315,DQN_SModel,69,101
316,DQN_SModel,82,88
317,DQN_SModel,78,92
318,DQN_SModel,51,119
319,DQN_SModel,47,123
320,DQN_SModel,80,90
321,DQN_SModel,72,98
322,DQN_SModel,56,114
323,DQN_SModel,51,119
324,DQN_SModel,52,118
325,DQN_SModel,52,118
326,DQN_SModel,50,120
327,DQN_SModel,51,119
328,DQN_SModel,53,117
329,DQN_SModel,57,113
330,DQN_SModel,45,125
331,DQN_SModel,49,121
332,DQN_SModel,84,86
333,DQN_SModel,50,120
334,DQN_SModel,56,114
335,DQN_SModel,53,117
336,DQN_SModel,63,107
337,DQN_SModel,55,115
338,DQN_SModel,63,107
339,DQN_SModel,38,132
340,DQN_SModel,42,128
341,DQN_SModel,64,106
342,DQN_SModel,47,123
343,DQN_SModel,41,129
344,DQN_SModel,46,124
345,DQN_SModel,70,100
346,DQN_SModel,80,90
347,DQN_SModel,37,133
348,DQN_SModel,60,110
349,DQN_SModel,46,124
350,DQN_SModel,60,110
351,DQN_SModel,64,106
352,DQN_SModel,52,118
353,DQN_SModel,55,115
354,DQN_SModel,57,113
355,DQN_SModel,51,119
356,DQN_SModel,43,127
357,DQN_SModel,62,108
358,DQN_SModel,50,120
359,DQN_SModel,41,129
360,DQN_SModel,59,111
361,DQN_SModel,63,107
362,DQN_SModel,58,112
363,DQN_SModel,64,106
364,DQN_SModel,53,117
365,DQN_SModel,47,123
366,DQN_SModel,55,115
367,DQN_SModel,57,113
368,DQN_SModel,58,112
369,DQN_SModel,48,122
370,DQN_SModel,60,110
371,DQN_SModel,53,117
372,DQN_SModel,64,106
373,DQN_SModel,86,84
374,DQN_SModel,40,130
375,DQN_SModel,38,132
376,DQN_SModel,64,106
377,DQN_SModel,49,121
378,DQN_SModel,48,122
379,DQN_SModel,54,116
380,DQN_SModel,67,103
381,DQN_SModel,39,131
382,DQN_SModel,74,96
383,DQN_SModel,69,101
384,DQN_SModel,67,103
385,DQN_SModel,64,106
386,DQN_SModel,53,117
387,DQN_SModel,60,110
388,DQN_SModel,47,123
389,DQN_SModel,79,91
390,DQN_SModel,39,131
391,DQN_SModel,55,115
392,DQN_SModel,73,97
393,DQN_SModel,57,113
394,DQN_SModel,52,118
395,DQN_SModel,57,113
396,DQN_SModel,44,126
397,DQN_SModel,49,121
398,DQN_SModel,80,90
399,DQN_SModel,59,111
400,DQN_SModel,57,113
401,DQN_SModel,50,120
402,DQN_SModel,49,121
403,DQN_SModel,48,122
404,DQN_SModel,52,118
405,DQN_SModel,50,120
406,DQN_SModel,54,116
407,DQN_SModel,55,115
408,DQN_SModel,47,123
409,DQN_SModel,68,102
410,DQN_SModel,55,115
411,DQN_SModel,64,106
412,DQN_SModel,59,111
413,DQN_SModel,70,100
414,DQN_SModel,50,120
415,DQN_SModel,46,124
416,DQN_SModel,62,108
417,DQN_SModel,71,99
418,DQN_SModel,50,120
419,DQN_SModel,53,117
420,DQN_SModel,37,133
421,DQN_SModel,59,111
422,DQN_SModel,65,105
423,DQN_SModel,59,111
424,DQN_SModel,68,102
425,DQN_SModel,63,107
426,DQN_SModel,52,118
427,DQN_SModel,52,118
428,DQN_SModel,55,115
429,DQN_SModel,50,120
430,DQN_SModel,69,101
431,DQN_SModel,43,127
432,DQN_SModel,48,122
433,DQN_SModel,49,121
434,DQN_SModel,41,129
435,DQN_SModel,72,98
436,DQN_SModel,56,114
437,DQN_SModel,53,117
438,DQN_SModel,69,101
439,DQN_SModel,45,125
440,DQN_SModel,47,123
441,DQN_SModel,36,134
442,DQN_SModel,49,121
443,DQN_SModel,49,121
444,DQN_SModel,57,113
445,DQN_SModel,38,132
446,DQN_SModel,55,115
447,DQN_SModel,38,132
448,DQN_SModel,66,104
449,DQN_SModel,47,123
450,DQN_SModel,64,106
451,DQN_SModel,76,94
452,DQN_SModel,55,115
453,DQN_SModel,76,94
454,DQN_SModel,48,122
455,DQN_SModel,53,117
456,DQN_SModel,40,130
457,DQN_SModel,76,94
458,DQN_SModel,63,107
459,DQN_SModel,72,98
460,DQN_SModel,49,121
461,DQN_SModel,61,109
462,DQN_SModel,57,113
463,DQN_SModel,42,128
464,DQN_SModel,56,114
465,DQN_SModel,59,111
466,DQN_SModel,44,126
467,DQN_SModel,47,123
468,DQN_SModel,51,119
469,DQN_SModel,39,131
470,DQN_SModel,54,116
471,DQN_SModel,51,119
472,DQN_SModel,61,109
473,DQN_SModel,59,111
474,DQN_SModel,47,123
475,DQN_SModel,67,103
476,DQN_SModel,44,126
477,DQN_SModel,49,121
478,DQN_SModel,45,125
479,DQN_SModel,52,118
480,DQN_SModel,48,122
481,DQN_SModel,46,124
482,DQN_SModel,48,122
483,DQN_SModel,46,124
484,DQN_SModel,39,131
485,DQN_SModel,57,113
486,DQN_SModel,85,85
487,DQN_SModel,37,133
488,DQN_SModel,58,112
489,DQN_SModel,50,120
490,DQN_SModel,78,92
491,DQN_SModel,61,109
492,DQN_SModel,54,116
493,DQN_SModel,50,120
494,DQN_SModel,73,97
495,DQN_SModel,66,104
496,DQN_SModel,64,106
497,DQN_SModel,75,95
498,DQN_SModel,62,108
499,DQN_SModel,70,100
