,AgentName,steps,reward
0,RandomAgent,71,99
1,RandomAgent,51,119
2,RandomAgent,48,122
3,RandomAgent,55,115
4,RandomAgent,71,99
5,RandomAgent,73,97
6,RandomAgent,76,94
7,RandomAgent,45,125
8,RandomAgent,56,114
9,RandomAgent,59,111
10,RandomAgent,73,97
11,RandomAgent,71,99
12,RandomAgent,58,112
13,RandomAgent,49,121
14,RandomAgent,81,89
15,RandomAgent,40,130
16,RandomAgent,84,86
17,RandomAgent,63,107
18,RandomAgent,42,128
19,RandomAgent,75,95
20,RandomAgent,84,86
21,RandomAgent,49,121
22,RandomAgent,42,128
23,RandomAgent,48,122
24,RandomAgent,55,115
25,RandomAgent,73,97
26,RandomAgent,52,118
27,RandomAgent,53,117
28,RandomAgent,49,121
29,RandomAgent,38,132
30,RandomAgent,48,122
31,RandomAgent,54,116
32,RandomAgent,53,117
33,RandomAgent,47,123
34,RandomAgent,39,131
35,RandomAgent,64,106
36,RandomAgent,55,115
37,RandomAgent,69,101
38,RandomAgent,69,101
39,RandomAgent,47,123
40,RandomAgent,59,111
41,RandomAgent,64,106
42,RandomAgent,50,120
43,RandomAgent,79,91
44,RandomAgent,71,99
45,RandomAgent,55,115
46,RandomAgent,56,114
47,RandomAgent,40,130
48,RandomAgent,63,107
49,RandomAgent,50,120
50,RandomAgent,46,124
51,RandomAgent,41,129
52,RandomAgent,61,109
53,RandomAgent,42,128
54,RandomAgent,82,88
55,RandomAgent,37,133
56,RandomAgent,63,107
57,RandomAgent,59,111
58,RandomAgent,51,119
59,RandomAgent,69,101
60,RandomAgent,62,108
61,RandomAgent,67,103
62,RandomAgent,38,132
63,RandomAgent,72,98
64,RandomAgent,52,118
65,RandomAgent,47,123
66,RandomAgent,49,121
67,RandomAgent,49,121
68,RandomAgent,57,113
69,RandomAgent,49,121
70,RandomAgent,56,114
71,RandomAgent,49,121
72,RandomAgent,77,93
73,RandomAgent,39,131
74,RandomAgent,60,110
75,RandomAgent,56,114
76,RandomAgent,40,130
77,RandomAgent,72,98
78,RandomAgent,59,111
79,RandomAgent,48,122
80,RandomAgent,58,112
81,RandomAgent,72,98
82,RandomAgent,50,120
83,RandomAgent,54,116
84,RandomAgent,45,125
85,RandomAgent,61,109
86,RandomAgent,64,106
87,RandomAgent,44,126
88,RandomAgent,61,109
89,RandomAgent,49,121
90,RandomAgent,63,107
91,RandomAgent,65,105
92,RandomAgent,75,95
93,RandomAgent,40,130
94,RandomAgent,62,108
95,RandomAgent,68,102
96,RandomAgent,52,118
97,RandomAgent,56,114
98,RandomAgent,45,125
99,RandomAgent,62,108
100,RandomAgent,78,92
101,RandomAgent,65,105
102,RandomAgent,47,123
103,RandomAgent,57,113
104,RandomAgent,53,117
105,RandomAgent,68,102
106,RandomAgent,75,95
107,RandomAgent,74,96
108,RandomAgent,74,96
109,RandomAgent,68,102
110,RandomAgent,50,120
111,RandomAgent,43,127
112,RandomAgent,83,87
113,RandomAgent,63,107
114,RandomAgent,78,92
115,RandomAgent,75,95
116,RandomAgent,38,132
117,RandomAgent,91,79
118,RandomAgent,76,94
119,RandomAgent,76,94
120,RandomAgent,70,100
121,RandomAgent,69,101
122,RandomAgent,68,102
123,RandomAgent,67,103
124,RandomAgent,57,113
125,RandomAgent,68,102
126,RandomAgent,81,89
127,RandomAgent,54,116
128,RandomAgent,44,126
129,RandomAgent,71,99
130,RandomAgent,42,128
131,RandomAgent,50,120
132,RandomAgent,75,95
133,RandomAgent,72,98
134,RandomAgent,40,130
135,RandomAgent,51,119
136,RandomAgent,70,100
137,RandomAgent,76,94
138,RandomAgent,56,114
139,RandomAgent,94,76
140,RandomAgent,44,126
141,RandomAgent,92,78
142,RandomAgent,76,94
143,RandomAgent,48,122
144,RandomAgent,64,106
145,RandomAgent,63,107
146,RandomAgent,51,119
147,RandomAgent,72,98
148,RandomAgent,67,103
149,RandomAgent,40,130
150,RandomAgent,54,116
151,RandomAgent,75,95
152,RandomAgent,76,94
153,RandomAgent,42,128
154,RandomAgent,61,109
155,RandomAgent,41,129
156,RandomAgent,66,104
157,RandomAgent,56,114
158,RandomAgent,48,122
159,RandomAgent,72,98
160,RandomAgent,75,95
161,RandomAgent,50,120
162,RandomAgent,57,113
163,RandomAgent,60,110
164,RandomAgent,77,93
165,RandomAgent,56,114
166,RandomAgent,53,117
167,RandomAgent,57,113
