,AgentName,steps,reward
0,DQN_SModel,66,104
1,DQN_SModel,86,84
2,DQN_SModel,99,71
3,DQN_SModel,88,82
4,DQN_SModel,78,92
5,DQN_SModel,88,82
6,DQN_SModel,77,93
7,DQN_SModel,99,71
8,DQN_SModel,89,81
9,DQN_SModel,59,111
10,DQN_SModel,55,115
11,DQN_SModel,82,88
12,DQN_SModel,90,80
13,DQN_SModel,64,106
14,DQN_SModel,59,111
15,DQN_SModel,60,110
16,DQN_SModel,76,94
17,DQN_SModel,91,79
18,DQN_SModel,89,81
19,DQN_SModel,89,81
20,DQN_SModel,88,82
21,DQN_SModel,46,124
22,DQN_SModel,82,88
23,DQN_SModel,79,91
24,DQN_SModel,68,102
25,DQN_SModel,75,95
26,DQN_SModel,65,105
27,DQN_SModel,73,97
28,DQN_SModel,76,94
29,DQN_SModel,74,96
30,DQN_SModel,81,89
31,DQN_SModel,64,106
32,DQN_SModel,86,84
33,DQN_SModel,50,120
34,DQN_SModel,77,93
35,DQN_SModel,63,107
36,DQN_SModel,72,98
37,DQN_SModel,92,78
38,DQN_SModel,60,110
39,DQN_SModel,83,87
40,DQN_SModel,98,72
41,DQN_SModel,40,130
42,DQN_SModel,56,114
43,DQN_SModel,84,86
44,DQN_SModel,50,120
45,DQN_SModel,88,82
46,DQN_SModel,62,108
47,DQN_SModel,66,104
48,DQN_SModel,68,102
49,DQN_SModel,47,123
50,DQN_SModel,69,101
51,DQN_SModel,92,78
52,DQN_SModel,86,84
53,DQN_SModel,59,111
54,DQN_SModel,44,126
55,DQN_SModel,77,93
56,DQN_SModel,51,119
57,DQN_SModel,75,95
58,DQN_SModel,69,101
59,DQN_SModel,68,102
60,DQN_SModel,84,86
61,DQN_SModel,90,80
62,DQN_SModel,61,109
63,DQN_SModel,55,115
64,DQN_SModel,57,113
65,DQN_SModel,75,95
66,DQN_SModel,93,77
67,DQN_SModel,43,127
68,DQN_SModel,49,121
69,DQN_SModel,98,72
70,DQN_SModel,88,82
71,DQN_SModel,90,80
72,DQN_SModel,53,117
73,DQN_SModel,72,98
74,DQN_SModel,74,96
75,DQN_SModel,68,102
76,DQN_SModel,78,92
77,DQN_SModel,57,113
78,DQN_SModel,99,71
79,DQN_SModel,56,114
80,DQN_SModel,76,94
81,DQN_SModel,59,111
82,DQN_SModel,78,92
83,DQN_SModel,53,117
84,DQN_SModel,57,113
85,DQN_SModel,61,109
86,DQN_SModel,57,113
87,DQN_SModel,50,120
88,DQN_SModel,72,98
89,DQN_SModel,70,100
90,DQN_SModel,74,96
91,DQN_SModel,78,92
92,DQN_SModel,72,98
93,DQN_SModel,76,94
94,DQN_SModel,61,109
95,DQN_SModel,67,103
96,DQN_SModel,69,101
97,DQN_SModel,85,85
98,DQN_SModel,42,128
99,DQN_SModel,67,103
100,DQN_SModel,52,118
101,DQN_SModel,71,99
102,DQN_SModel,45,125
103,DQN_SModel,98,72
104,DQN_SModel,82,88
105,DQN_SModel,75,95
106,DQN_SModel,70,100
107,DQN_SModel,87,83
108,DQN_SModel,75,95
109,DQN_SModel,80,90
110,DQN_SModel,71,99
111,DQN_SModel,84,86
112,DQN_SModel,66,104
113,DQN_SModel,69,101
114,DQN_SModel,74,96
115,DQN_SModel,88,82
116,DQN_SModel,79,91
117,DQN_SModel,78,92
118,DQN_SModel,57,113
119,DQN_SModel,88,82
120,DQN_SModel,72,98
121,DQN_SModel,58,112
122,DQN_SModel,83,87
123,DQN_SModel,89,81
124,DQN_SModel,61,109
125,DQN_SModel,74,96
126,DQN_SModel,69,101
127,DQN_SModel,48,122
128,DQN_SModel,77,93
129,DQN_SModel,74,96
130,DQN_SModel,84,86
131,DQN_SModel,58,112
132,DQN_SModel,79,91
133,DQN_SModel,68,102
134,DQN_SModel,60,110
135,DQN_SModel,65,105
136,DQN_SModel,90,80
137,DQN_SModel,84,86
138,DQN_SModel,54,116
139,DQN_SModel,70,100
140,DQN_SModel,76,94
141,DQN_SModel,84,86
142,DQN_SModel,68,102
143,DQN_SModel,84,86
144,DQN_SModel,83,87
145,DQN_SModel,84,86
146,DQN_SModel,83,87
147,DQN_SModel,92,78
148,DQN_SModel,81,89
149,DQN_SModel,74,96
150,DQN_SModel,56,114
151,DQN_SModel,47,123
152,DQN_SModel,89,81
153,DQN_SModel,51,119
154,DQN_SModel,73,97
155,DQN_SModel,81,89
156,DQN_SModel,60,110
157,DQN_SModel,79,91
158,DQN_SModel,66,104
159,DQN_SModel,94,76
160,DQN_SModel,70,100
161,DQN_SModel,90,80
162,DQN_SModel,77,93
163,DQN_SModel,55,115
164,DQN_SModel,64,106
165,DQN_SModel,57,113
166,DQN_SModel,64,106
167,DQN_SModel,94,76
168,DQN_SModel,75,95
169,DQN_SModel,79,91
170,DQN_SModel,72,98
171,DQN_SModel,59,111
172,DQN_SModel,77,93
173,DQN_SModel,65,105
174,DQN_SModel,50,120
175,DQN_SModel,82,88
176,DQN_SModel,44,126
177,DQN_SModel,78,92
178,DQN_SModel,70,100
179,DQN_SModel,79,91
180,DQN_SModel,90,80
181,DQN_SModel,82,88
182,DQN_SModel,85,85
183,DQN_SModel,63,107
184,DQN_SModel,68,102
185,DQN_SModel,48,122
186,DQN_SModel,66,104
187,DQN_SModel,54,116
188,DQN_SModel,68,102
189,DQN_SModel,87,83
190,DQN_SModel,57,113
191,DQN_SModel,48,122
192,DQN_SModel,72,98
193,DQN_SModel,49,121
194,DQN_SModel,45,125
195,DQN_SModel,61,109
196,DQN_SModel,63,107
197,DQN_SModel,59,111
198,DQN_SModel,71,99
199,DQN_SModel,53,117
200,DQN_SModel,89,81
201,DQN_SModel,93,77
202,DQN_SModel,87,83
203,DQN_SModel,72,98
204,DQN_SModel,43,127
205,DQN_SModel,62,108
206,DQN_SModel,90,80
207,DQN_SModel,88,82
208,DQN_SModel,74,96
209,DQN_SModel,43,127
210,DQN_SModel,64,106
211,DQN_SModel,86,84
212,DQN_SModel,62,108
213,DQN_SModel,90,80
214,DQN_SModel,99,71
215,DQN_SModel,56,114
216,DQN_SModel,84,86
217,DQN_SModel,71,99
218,DQN_SModel,65,105
219,DQN_SModel,86,84
220,DQN_SModel,73,97
221,DQN_SModel,56,114
222,DQN_SModel,37,133
223,DQN_SModel,81,89
224,DQN_SModel,71,99
225,DQN_SModel,86,84
226,DQN_SModel,82,88
227,DQN_SModel,82,88
228,DQN_SModel,84,86
229,DQN_SModel,75,95
230,DQN_SModel,72,98
231,DQN_SModel,83,87
232,DQN_SModel,78,92
233,DQN_SModel,76,94
234,DQN_SModel,70,100
235,DQN_SModel,63,107
236,DQN_SModel,60,110
237,DQN_SModel,56,114
238,DQN_SModel,74,96
239,DQN_SModel,81,89
240,DQN_SModel,71,99
241,DQN_SModel,59,111
242,DQN_SModel,74,96
243,DQN_SModel,61,109
244,DQN_SModel,94,76
245,DQN_SModel,62,108
246,DQN_SModel,77,93
247,DQN_SModel,71,99
248,DQN_SModel,52,118
249,DQN_SModel,66,104
250,DQN_SModel,81,89
251,DQN_SModel,76,94
252,DQN_SModel,72,98
253,DQN_SModel,52,118
254,DQN_SModel,70,100
255,DQN_SModel,59,111
256,DQN_SModel,76,94
257,DQN_SModel,71,99
258,DQN_SModel,72,98
259,DQN_SModel,83,87
260,DQN_SModel,83,87
261,DQN_SModel,67,103
262,DQN_SModel,76,94
263,DQN_SModel,71,99
264,DQN_SModel,83,87
265,DQN_SModel,83,87
266,DQN_SModel,67,103
267,DQN_SModel,81,89
268,DQN_SModel,68,102
269,DQN_SModel,79,91
270,DQN_SModel,82,88
271,DQN_SModel,46,124
272,DQN_SModel,72,98
273,DQN_SModel,52,118
274,DQN_SModel,40,130
275,DQN_SModel,83,87
276,DQN_SModel,60,110
277,DQN_SModel,56,114
278,DQN_SModel,78,92
279,DQN_SModel,49,121
280,DQN_SModel,60,110
281,DQN_SModel,58,112
282,DQN_SModel,71,99
283,DQN_SModel,89,81
284,DQN_SModel,62,108
285,DQN_SModel,67,103
286,DQN_SModel,72,98
287,DQN_SModel,72,98
288,DQN_SModel,59,111
289,DQN_SModel,58,112
290,DQN_SModel,73,97
291,DQN_SModel,76,94
292,DQN_SModel,85,85
293,DQN_SModel,73,97
294,DQN_SModel,72,98
295,DQN_SModel,65,105
296,DQN_SModel,62,108
297,DQN_SModel,60,110
298,DQN_SModel,77,93
299,DQN_SModel,97,73
300,DQN_SModel,87,83
301,DQN_SModel,64,106
302,DQN_SModel,96,74
303,DQN_SModel,61,109
304,DQN_SModel,94,76
305,DQN_SModel,72,98
306,DQN_SModel,78,92
307,DQN_SModel,67,103
308,DQN_SModel,72,98
309,DQN_SModel,72,98
310,DQN_SModel,62,108
311,DQN_SModel,53,117
312,DQN_SModel,75,95
313,DQN_SModel,76,94
314,DQN_SModel,78,92
315,DQN_SModel,76,94
316,DQN_SModel,79,91
317,DQN_SModel,65,105
318,DQN_SModel,67,103
319,DQN_SModel,59,111
320,DQN_SModel,94,76
321,DQN_SModel,69,101
322,DQN_SModel,61,109
323,DQN_SModel,86,84
324,DQN_SModel,55,115
325,DQN_SModel,57,113
326,DQN_SModel,93,77
327,DQN_SModel,74,96
328,DQN_SModel,86,84
329,DQN_SModel,82,88
330,DQN_SModel,81,89
331,DQN_SModel,61,109
332,DQN_SModel,65,105
333,DQN_SModel,54,116
334,DQN_SModel,64,106
335,DQN_SModel,77,93
336,DQN_SModel,43,127
337,DQN_SModel,58,112
338,DQN_SModel,94,76
339,DQN_SModel,66,104
340,DQN_SModel,64,106
341,DQN_SModel,71,99
342,DQN_SModel,74,96
343,DQN_SModel,88,82
344,DQN_SModel,73,97
345,DQN_SModel,51,119
346,DQN_SModel,69,101
347,DQN_SModel,70,100
348,DQN_SModel,70,100
349,DQN_SModel,85,85
350,DQN_SModel,93,77
351,DQN_SModel,69,101
352,DQN_SModel,64,106
353,DQN_SModel,92,78
354,DQN_SModel,77,93
355,DQN_SModel,57,113
356,DQN_SModel,81,89
357,DQN_SModel,99,71
358,DQN_SModel,66,104
359,DQN_SModel,92,78
360,DQN_SModel,67,103
361,DQN_SModel,71,99
362,DQN_SModel,85,85
363,DQN_SModel,61,109
364,DQN_SModel,58,112
365,DQN_SModel,71,99
366,DQN_SModel,79,91
367,DQN_SModel,55,115
368,DQN_SModel,64,106
369,DQN_SModel,78,92
370,DQN_SModel,58,112
371,DQN_SModel,70,100
372,DQN_SModel,85,85
373,DQN_SModel,39,131
374,DQN_SModel,78,92
375,DQN_SModel,68,102
376,DQN_SModel,69,101
377,DQN_SModel,74,96
378,DQN_SModel,51,119
379,DQN_SModel,86,84
380,DQN_SModel,60,110
381,DQN_SModel,74,96
382,DQN_SModel,64,106
383,DQN_SModel,78,92
384,DQN_SModel,88,82
385,DQN_SModel,79,91
386,DQN_SModel,67,103
387,DQN_SModel,68,102
388,DQN_SModel,67,103
389,DQN_SModel,61,109
390,DQN_SModel,51,119
391,DQN_SModel,65,105
392,DQN_SModel,83,87
393,DQN_SModel,77,93
394,DQN_SModel,36,134
395,DQN_SModel,79,91
396,DQN_SModel,63,107
397,DQN_SModel,97,73
398,DQN_SModel,66,104
399,DQN_SModel,77,93
400,DQN_SModel,84,86
401,DQN_SModel,83,87
402,DQN_SModel,75,95
403,DQN_SModel,62,108
404,DQN_SModel,61,109
405,DQN_SModel,82,88
406,DQN_SModel,56,114
407,DQN_SModel,53,117
408,DQN_SModel,70,100
409,DQN_SModel,81,89
410,DQN_SModel,89,81
411,DQN_SModel,44,126
412,DQN_SModel,61,109
413,DQN_SModel,78,92
414,DQN_SModel,78,92
415,DQN_SModel,84,86
416,DQN_SModel,58,112
417,DQN_SModel,70,100
418,DQN_SModel,65,105
419,DQN_SModel,78,92
420,DQN_SModel,62,108
421,DQN_SModel,67,103
422,DQN_SModel,83,87
423,DQN_SModel,43,127
424,DQN_SModel,89,81
425,DQN_SModel,87,83
426,DQN_SModel,77,93
427,DQN_SModel,79,91
428,DQN_SModel,73,97
429,DQN_SModel,85,85
430,DQN_SModel,87,83
431,DQN_SModel,94,76
432,DQN_SModel,89,81
433,DQN_SModel,82,88
434,DQN_SModel,74,96
435,DQN_SModel,64,106
436,DQN_SModel,90,80
437,DQN_SModel,44,126
438,DQN_SModel,69,101
439,DQN_SModel,95,75
440,DQN_SModel,87,83
