,AgentName,steps,reward
0,SearchHuntAgent,83,87
1,SearchHuntAgent,68,102
2,SearchHuntAgent,70,100
3,SearchHuntAgent,67,103
4,SearchHuntAgent,63,107
5,SearchHuntAgent,69,101
6,SearchHuntAgent,75,95
7,SearchHuntAgent,55,115
8,SearchHuntAgent,55,115
9,SearchHuntAgent,69,101
10,SearchHuntAgent,67,103
11,SearchHuntAgent,72,98
12,SearchHuntAgent,66,104
13,SearchHuntAgent,48,122
14,SearchHuntAgent,57,113
15,SearchHuntAgent,96,74
16,SearchHuntAgent,80,90
17,SearchHuntAgent,78,92
18,SearchHuntAgent,60,110
19,SearchHuntAgent,59,111
20,SearchHuntAgent,82,88
21,SearchHuntAgent,74,96
22,SearchHuntAgent,87,83
23,SearchHuntAgent,65,105
24,SearchHuntAgent,57,113
25,SearchHuntAgent,51,119
26,SearchHuntAgent,76,94
27,SearchHuntAgent,77,93
28,SearchHuntAgent,86,84
29,SearchHuntAgent,75,95
30,SearchHuntAgent,65,105
31,SearchHuntAgent,66,104
32,SearchHuntAgent,70,100
33,SearchHuntAgent,58,112
34,SearchHuntAgent,60,110
35,SearchHuntAgent,84,86
36,SearchHuntAgent,61,109
37,SearchHuntAgent,74,96
38,SearchHuntAgent,69,101
39,SearchHuntAgent,63,107
40,SearchHuntAgent,62,108
41,SearchHuntAgent,66,104
42,SearchHuntAgent,74,96
43,SearchHuntAgent,63,107
44,SearchHuntAgent,75,95
45,SearchHuntAgent,43,127
46,SearchHuntAgent,68,102
47,SearchHuntAgent,80,90
48,SearchHuntAgent,50,120
49,SearchHuntAgent,72,98
50,SearchHuntAgent,68,102
51,SearchHuntAgent,75,95
52,SearchHuntAgent,67,103
53,SearchHuntAgent,63,107
54,SearchHuntAgent,69,101
55,SearchHuntAgent,75,95
56,SearchHuntAgent,86,84
57,SearchHuntAgent,68,102
58,SearchHuntAgent,61,109
59,SearchHuntAgent,62,108
60,SearchHuntAgent,77,93
61,SearchHuntAgent,54,116
62,SearchHuntAgent,49,121
63,SearchHuntAgent,50,120
64,SearchHuntAgent,64,106
65,SearchHuntAgent,81,89
66,SearchHuntAgent,76,94
67,SearchHuntAgent,90,80
68,SearchHuntAgent,59,111
69,SearchHuntAgent,44,126
70,SearchHuntAgent,73,97
71,SearchHuntAgent,75,95
72,SearchHuntAgent,62,108
73,SearchHuntAgent,56,114
74,SearchHuntAgent,44,126
75,SearchHuntAgent,68,102
76,SearchHuntAgent,67,103
77,SearchHuntAgent,64,106
78,SearchHuntAgent,53,117
79,SearchHuntAgent,87,83
80,SearchHuntAgent,76,94
81,SearchHuntAgent,48,122
82,SearchHuntAgent,54,116
83,SearchHuntAgent,60,110
84,SearchHuntAgent,63,107
85,SearchHuntAgent,53,117
86,SearchHuntAgent,59,111
87,SearchHuntAgent,71,99
88,SearchHuntAgent,63,107
89,SearchHuntAgent,47,123
90,SearchHuntAgent,72,98
91,SearchHuntAgent,92,78
92,SearchHuntAgent,55,115
93,SearchHuntAgent,89,81
94,SearchHuntAgent,89,81
95,SearchHuntAgent,78,92
96,SearchHuntAgent,47,123
97,SearchHuntAgent,78,92
98,SearchHuntAgent,62,108
99,SearchHuntAgent,67,103
100,SearchHuntAgent,73,97
101,SearchHuntAgent,53,117
102,SearchHuntAgent,68,102
103,SearchHuntAgent,59,111
104,SearchHuntAgent,67,103
105,SearchHuntAgent,51,119
106,SearchHuntAgent,73,97
107,SearchHuntAgent,66,104
108,SearchHuntAgent,87,83
109,SearchHuntAgent,49,121
110,SearchHuntAgent,81,89
111,SearchHuntAgent,69,101
112,SearchHuntAgent,62,108
113,SearchHuntAgent,71,99
114,SearchHuntAgent,44,126
115,SearchHuntAgent,70,100
116,SearchHuntAgent,61,109
117,SearchHuntAgent,93,77
118,SearchHuntAgent,49,121
119,SearchHuntAgent,64,106
120,SearchHuntAgent,78,92
121,SearchHuntAgent,60,110
122,SearchHuntAgent,53,117
123,SearchHuntAgent,51,119
124,SearchHuntAgent,74,96
125,SearchHuntAgent,57,113
126,SearchHuntAgent,51,119
127,SearchHuntAgent,68,102
128,SearchHuntAgent,72,98
129,SearchHuntAgent,59,111
130,SearchHuntAgent,63,107
131,SearchHuntAgent,79,91
132,SearchHuntAgent,57,113
133,SearchHuntAgent,59,111
134,SearchHuntAgent,66,104
135,SearchHuntAgent,63,107
136,SearchHuntAgent,71,99
137,SearchHuntAgent,88,82
138,SearchHuntAgent,58,112
139,SearchHuntAgent,51,119
140,SearchHuntAgent,56,114
141,SearchHuntAgent,54,116
142,SearchHuntAgent,68,102
143,SearchHuntAgent,88,82
144,SearchHuntAgent,65,105
145,SearchHuntAgent,71,99
146,SearchHuntAgent,70,100
147,SearchHuntAgent,61,109
148,SearchHuntAgent,47,123
149,SearchHuntAgent,61,109
150,SearchHuntAgent,83,87
151,SearchHuntAgent,72,98
152,SearchHuntAgent,66,104
153,SearchHuntAgent,68,102
154,SearchHuntAgent,84,86
155,SearchHuntAgent,61,109
156,SearchHuntAgent,70,100
157,SearchHuntAgent,60,110
158,SearchHuntAgent,55,115
159,SearchHuntAgent,47,123
160,SearchHuntAgent,53,117
161,SearchHuntAgent,58,112
162,SearchHuntAgent,72,98
163,SearchHuntAgent,89,81
164,SearchHuntAgent,57,113
165,SearchHuntAgent,63,107
166,SearchHuntAgent,74,96
167,SearchHuntAgent,55,115
168,SearchHuntAgent,70,100
169,SearchHuntAgent,91,79
170,SearchHuntAgent,73,97
171,SearchHuntAgent,56,114
172,SearchHuntAgent,61,109
173,SearchHuntAgent,44,126
174,SearchHuntAgent,53,117
175,SearchHuntAgent,68,102
176,SearchHuntAgent,67,103
177,SearchHuntAgent,46,124
178,SearchHuntAgent,91,79
179,SearchHuntAgent,84,86
180,SearchHuntAgent,51,119
181,SearchHuntAgent,44,126
182,SearchHuntAgent,63,107
183,SearchHuntAgent,56,114
184,SearchHuntAgent,72,98
185,SearchHuntAgent,48,122
186,SearchHuntAgent,73,97
187,SearchHuntAgent,59,111
188,SearchHuntAgent,52,118
189,SearchHuntAgent,52,118
190,SearchHuntAgent,56,114
191,SearchHuntAgent,78,92
192,SearchHuntAgent,63,107
193,SearchHuntAgent,80,90
194,SearchHuntAgent,66,104
195,SearchHuntAgent,68,102
196,SearchHuntAgent,57,113
197,SearchHuntAgent,52,118
198,SearchHuntAgent,68,102
199,SearchHuntAgent,65,105
200,SearchHuntAgent,65,105
201,SearchHuntAgent,59,111
202,SearchHuntAgent,49,121
203,SearchHuntAgent,62,108
204,SearchHuntAgent,47,123
205,SearchHuntAgent,73,97
206,SearchHuntAgent,63,107
207,SearchHuntAgent,52,118
208,SearchHuntAgent,54,116
209,SearchHuntAgent,79,91
210,SearchHuntAgent,88,82
211,SearchHuntAgent,77,93
212,SearchHuntAgent,67,103
213,SearchHuntAgent,52,118
214,SearchHuntAgent,83,87
215,SearchHuntAgent,86,84
216,SearchHuntAgent,72,98
217,SearchHuntAgent,57,113
218,SearchHuntAgent,71,99
219,SearchHuntAgent,85,85
