,AgentName,steps,reward
0,RandomAgent,87,83
1,RandomAgent,98,72
2,RandomAgent,97,73
3,RandomAgent,100,70
4,RandomAgent,99,71
5,RandomAgent,95,75
6,RandomAgent,99,71
7,RandomAgent,98,72
8,RandomAgent,87,83
9,RandomAgent,100,70
10,RandomAgent,100,70
11,RandomAgent,90,80
12,RandomAgent,96,74
13,RandomAgent,99,71
14,RandomAgent,100,70
15,RandomAgent,100,70
16,RandomAgent,97,73
17,RandomAgent,90,80
18,RandomAgent,97,73
19,RandomAgent,97,73
20,RandomAgent,99,71
21,RandomAgent,100,70
22,RandomAgent,100,70
23,RandomAgent,81,89
24,RandomAgent,80,90
25,RandomAgent,97,73
26,RandomAgent,95,75
27,RandomAgent,100,70
28,RandomAgent,97,73
29,RandomAgent,96,74
30,RandomAgent,100,70
31,RandomAgent,94,76
32,RandomAgent,99,71
33,RandomAgent,94,76
34,RandomAgent,84,86
35,RandomAgent,99,71
36,RandomAgent,89,81
37,RandomAgent,100,70
38,RandomAgent,98,72
39,RandomAgent,95,75
40,RandomAgent,95,75
41,RandomAgent,96,74
42,RandomAgent,95,75
43,RandomAgent,99,71
44,RandomAgent,91,79
45,RandomAgent,94,76
46,RandomAgent,87,83
47,RandomAgent,92,78
48,RandomAgent,97,73
49,RandomAgent,87,83
50,RandomAgent,90,80
51,RandomAgent,98,72
52,RandomAgent,87,83
53,RandomAgent,100,70
54,RandomAgent,95,75
55,RandomAgent,97,73
56,RandomAgent,96,74
57,RandomAgent,94,76
58,RandomAgent,94,76
59,RandomAgent,86,84
60,RandomAgent,100,70
61,RandomAgent,97,73
62,RandomAgent,95,75
63,RandomAgent,99,71
64,RandomAgent,97,73
65,RandomAgent,96,74
66,RandomAgent,94,76
67,RandomAgent,99,71
68,RandomAgent,98,72
69,RandomAgent,84,86
70,RandomAgent,86,84
71,RandomAgent,92,78
72,RandomAgent,97,73
73,RandomAgent,96,74
74,RandomAgent,100,70
75,RandomAgent,96,74
76,RandomAgent,96,74
77,RandomAgent,95,75
78,RandomAgent,85,85
79,RandomAgent,99,71
80,RandomAgent,99,71
81,RandomAgent,95,75
82,RandomAgent,98,72
83,RandomAgent,86,84
84,RandomAgent,98,72
85,RandomAgent,88,82
86,RandomAgent,99,71
87,RandomAgent,88,82
88,RandomAgent,99,71
89,RandomAgent,98,72
90,RandomAgent,91,79
91,RandomAgent,99,71
92,RandomAgent,94,76
93,RandomAgent,98,72
94,RandomAgent,100,70
95,RandomAgent,95,75
96,RandomAgent,84,86
97,RandomAgent,99,71
98,RandomAgent,95,75
99,RandomAgent,100,70
100,RandomAgent,99,71
101,RandomAgent,98,72
102,RandomAgent,95,75
103,RandomAgent,91,79
104,RandomAgent,92,78
105,RandomAgent,98,72
106,RandomAgent,100,70
107,RandomAgent,89,81
108,RandomAgent,99,71
109,RandomAgent,87,83
110,RandomAgent,100,70
111,RandomAgent,99,71
112,RandomAgent,100,70
113,RandomAgent,99,71
114,RandomAgent,100,70
115,RandomAgent,96,74
116,RandomAgent,98,72
117,RandomAgent,81,89
118,RandomAgent,89,81
119,RandomAgent,100,70
120,RandomAgent,98,72
121,RandomAgent,99,71
122,RandomAgent,99,71
123,RandomAgent,94,76
124,RandomAgent,95,75
125,RandomAgent,98,72
126,RandomAgent,90,80
127,RandomAgent,98,72
