,AgentName,steps,reward
0,CNNAgent,67,103
1,CNNAgent,45,125
2,CNNAgent,59,111
3,CNNAgent,52,118
4,CNNAgent,89,81
5,CNNAgent,66,104
6,CNNAgent,42,128
7,CNNAgent,42,128
8,CNNAgent,64,106
9,CNNAgent,83,87
10,CNNAgent,91,79
11,CNNAgent,37,133
12,CNNAgent,50,120
13,CNNAgent,76,94
14,CNNAgent,78,92
15,CNNAgent,40,130
16,CNNAgent,88,82
17,CNNAgent,53,117
18,CNNAgent,59,111
19,CNNAgent,59,111
20,CNNAgent,98,72
21,CNNAgent,91,79
22,CNNAgent,46,124
23,CNNAgent,61,109
24,CNNAgent,64,106
25,CNNAgent,72,98
26,CNNAgent,53,117
27,CNNAgent,67,103
28,CNNAgent,73,97
29,CNNAgent,41,129
30,CNNAgent,55,115
31,CNNAgent,87,83
32,CNNAgent,64,106
33,CNNAgent,56,114
34,CNNAgent,83,87
35,CNNAgent,68,102
36,CNNAgent,59,111
37,CNNAgent,70,100
38,CNNAgent,49,121
39,CNNAgent,61,109
40,CNNAgent,82,88
41,CNNAgent,48,122
42,CNNAgent,47,123
43,CNNAgent,78,92
44,CNNAgent,83,87
45,CNNAgent,82,88
46,CNNAgent,61,109
47,CNNAgent,66,104
48,CNNAgent,59,111
49,CNNAgent,61,109
50,CNNAgent,77,93
51,CNNAgent,46,124
52,CNNAgent,76,94
53,CNNAgent,61,109
54,CNNAgent,50,120
55,CNNAgent,75,95
56,CNNAgent,84,86
57,CNNAgent,52,118
58,CNNAgent,52,118
59,CNNAgent,92,78
60,CNNAgent,84,86
61,CNNAgent,52,118
62,CNNAgent,54,116
63,CNNAgent,83,87
64,CNNAgent,81,89
65,CNNAgent,56,114
66,CNNAgent,63,107
67,CNNAgent,77,93
68,CNNAgent,60,110
69,CNNAgent,60,110
70,CNNAgent,83,87
71,CNNAgent,38,132
72,CNNAgent,72,98
73,CNNAgent,67,103
74,CNNAgent,50,120
75,CNNAgent,35,135
76,CNNAgent,59,111
77,CNNAgent,63,107
78,CNNAgent,49,121
79,CNNAgent,85,85
80,CNNAgent,49,121
81,CNNAgent,67,103
82,CNNAgent,41,129
83,CNNAgent,45,125
84,CNNAgent,58,112
85,CNNAgent,74,96
86,CNNAgent,64,106
